Price,ppi,cpu core,cpu freq,internal mem,RearCam,Front_Cam,battery,thickness,Performance_score,Camera_score,weight_Heavy,weight_Light,weight_Medium
2859,515,4.0,1.875,64.0,12.0,5.0,3500,7.9,7.5,9.899999999999999,1.0,0.0,0.0
2977,577,8.0,2.3,32.0,12.0,5.0,3000,7.9,18.4,9.899999999999999,0.0,0.0,1.0
3005,515,8.0,1.8,32.0,16.0,5.0,3000,7.6,14.4,12.7,1.0,0.0,0.0
2654,386,8.0,1.55,32.0,16.0,5.0,3050,5.9,12.4,12.7,0.0,0.0,1.0
791,121,1.0,0.208,4.0,12.0,0.9,2700,13.2,0.208,8.669999999999998,0.0,1.0,0.0
2744,524,4.0,2.7,32.0,16.0,3.7,3000,8.3,10.8,12.309999999999999,1.0,0.0,0.0
1810,189,4.0,1.2,16.0,3.15,1.2,4450,9.7,4.8,2.5649999999999995,0.0,0.0,1.0
2343,432,4.0,2.5,16.0,16.0,2.0,2800,8.9,10.0,11.799999999999999,0.0,0.0,1.0
1357,200,4.0,1.2,8.0,5.0,0.9,2600,11.6,4.8,3.77,1.0,0.0,0.0
2580,432,4.0,2.5,16.0,16.0,2.0,2800,8.1,10.0,11.799999999999999,0.0,0.0,1.0
2491,247,8.0,1.6,32.0,8.0,2.0,2700,8.0,12.8,6.199999999999999,0.0,0.0,1.0
1612,294,4.0,1.2,8.0,8.0,1.2,2040,10.0,4.8,5.96,0.0,1.0,0.0
2536,367,8.0,1.5,16.0,21.5,16.0,2700,8.4,12.0,19.849999999999998,0.0,0.0,1.0
3102,806,8.0,1.75,32.0,23.0,5.1,3430,7.8,14.0,17.63,1.0,0.0,0.0
2562,367,8.0,1.7,16.0,13.0,13.0,2930,8.2,13.6,13.0,0.0,0.0,1.0
3316,428,8.0,1.75,32.0,20.7,5.1,2930,6.9,14.0,16.02,0.0,1.0,0.0
2508,424,4.0,2.5,16.0,20.7,2.2,3100,7.3,10.0,15.149999999999999,0.0,0.0,1.0
705,128,1.0,0.208,4.0,2.0,0.9,2700,15.6,0.208,1.67,0.0,1.0,0.0
3551,538,4.0,1.875,64.0,12.0,16.0,4080,8.4,7.5,13.2,1.0,0.0,0.0
3837,541,4.0,1.875,64.0,16.0,8.0,3600,7.6,7.5,13.6,1.0,0.0,0.0
2714,401,8.0,1.35,16.0,13.0,5.0,2300,5.1,10.8,10.6,0.0,0.0,1.0
3658,428,8.0,2.45,64.0,12.0,8.0,3350,7.5,19.6,10.799999999999999,1.0,0.0,0.0
3211,534,4.0,1.975,64.0,20.0,8.0,3400,7.9,7.9,16.4,1.0,0.0,0.0
2001,258,4.0,1.2,16.0,8.0,1.0,3400,10.2,4.8,5.8999999999999995,0.0,0.0,1.0
1421,233,2.0,1.0,4.0,2.0,0.9,2700,9.8,2.0,1.67,0.0,1.0,0.0
